Wavelength,BLOW_01-21-01-1,BLOW_01-21-06-1,BLOW_02-20-02-1,BLOW_03-21-06-1,BLOW_04-20-02-1,BLOW_04-21-06-1,BLOW_05-20-02-1,BLOW_05-21-01-1,BLOW_05-21-06-1,BON_01-20-10-1,BON_01-21-02-1,BON_02-20-10-1,BON_02-21-02-1,BON_03-20-10-1,BON_03-21-02-1,BURJ_01-20-07-1,BURJ_01-20-09-1,BURJ_01-21-03-1,BURJ_02-20-09-1,BURJ_02-21-03-1,BURJ_03-20-07-1,BURJ_03-21-03-1,BURJ_05-20-07-1,BURJ_05-21-03-1,BURJ_07-21-03-1,BURJ_07-21-03-2,DAR_01-20-12-1,DAR_02-20-12-1,DAR_03-20-12-1,DAR_05-20-12-1,EUC_02-21-06-1,EUC_03-21-06-1,EUC_04-21-06-1,EUC_05-21-06-1,HUME_01-17-03-1,HUME_01-17-04-1,HUME_01-17-08-1,HUME_01-17-11-1,HUME_01-18-03-1,HUME_01-20-02-1,HUME_01-20-03-1,HUME_01-20-12-1,HUME_01-21-01-1,HUME_06-17-03-1,HUME_06-17-04-1,HUME_06-17-08-1,HUME_06-17-11-1,HUME_06-20-02-1,HUME_06-20-03-1,HUME_06-20-12-1,HUME_09-17-03-2,HUME_09-17-04-1,HUME_09-17-08-1,HUME_09-17-11-1,HUME_09-18-03-1,HUME_09-20-02-1,HUME_09-20-03-1,HUME_09-20-12-1,HUME_10-17-03-1,HUME_10-17-03-2,HUME_10-17-04-1,HUME_10-17-08-1,HUME_10-17-11-1,HUME_10-18-03-1,HUME_10-20-02-1,HUME_10-20-03-1,HUME_10-20-12-1,HUME_DAMWALL-17-03-1,HUME_DAMWALL-17-03-2,HUME_DAMWALL-17-08-1,HUME_DAMWALL-17-11-1,HUME_DAMWALL-20-02-1,HUME_DAMWALL-20-03-1,HUME_DAMWALL-20-12-1,JIN_01-20-08-1,JIN_01-21-01-1,JIN_02-20-08-1,JIN_02-21-01-1,JIN_03-20-08-1,JIN_04-20-08-1,JIN_04-21-01-1,JIN_05-20-08-1,JIN_05-21-01-1,L145WP42-20-02-1,L145WP42-20-03-1,L25WP10-20-02-1,L25WP10-20-03-1,L25WP3-20-02-1,L25WP3-20-03-1,L25WP6-20-02-1,L25WP6-20-03-1,L55EP10-20-02-1,L55EP10-20-03-1,L55EP10-21-03-1,L55EP4-20-02-1,L55EP4-20-03-1,L55EP4-21-03-1,L55EP6-20-02-1,L55EP6-20-03-1,L55EP6-21-03-1,L55EP8-20-02-1,L55EP8-21-03-1,LBG_07-20-12-1,LBG_09-20-12-1,LBP14-20-03-1,LT_02-20-02-1,PAM_01-20-08-1,PAM_02-20-08-1,PAM_02-21-02-1,PAM_03-20-07-1,PAM_03-21-02-1,PAM_04-20-10-1,PAM_04-21-02-1,VIC_01-20-07-1,VIC_02-20-07-1,VIC_03-20-07-1,WAC_01-20-10-1,WAC_02-20-10-1,WAC_03-20-10-1
400,0.001166777,0.001514227,0.001809905,0.001050673,0.00252477,0.001527882,0.001878333,0.001314586,0.001587863,0.004248455,0.004214775,0.002769014,0.003153919,0.003610704,0.003978741,0.000465781,0.000399673,0.000629083,0.000663792,0.000780831,0.001159235,0.000627304,0.000972706,0.001779159,0.000976876,0.00115153,0.001509382,0.001621205,0.00331428,0.001606029,0.001637813,0.001592583,0.001950059,0.002434149,0.000624127,0.001231252,0.000987922,0.000777582,0.00118431,0.001706155,0.001420972,0.000587558,0.000523644,0.000380614,0.001053991,0.001417855,0.000892675,0.000811376,0.002449633,0.001050936,0.000921744,0.001181498,0.001235546,0.00054237,0.001196644,0.002016791,0.001705587,0.000849833,0.000526733,0.000634695,0.001965336,0.000721507,0.000824312,0.001386827,0.001578395,0.000651285,0.001036851,0.000617799,0.000835142,0.001322549,0.000711013,0.002012297,0.001609078,0.000922165,0.001590162,0.001561397,0.001308849,0.001285188,0.001387778,0.002469631,0.0018665,0.001575635,0.001506166,0.000963225,0.000506642,8.73E-05,-0.000273479,0.000254855,9.94E-05,-3.53E-05,0.000628202,-0.000179635,-0.000145304,-0.001382842,0.000458355,0.002821648,-0.001258106,0.000285536,-0.00023284,-0.000917127,0.000240651,-0.001076186,0.000192337,0.000188872,0.001332643,6.70E-05,0.005524098,0.005559184,0.007092431,0.005713225,0.006225842,0.006966964,0.005383959,0.002819537,0.00370352,0.002205211,0.004894057,0.003029042,0.001231436
401,0.00116958,0.001521744,0.001816892,0.001055333,0.002536715,0.001534722,0.001889263,0.001319886,0.001597015,0.004223969,0.00419302,0.002752819,0.003136869,0.003581351,0.003955513,0.000475179,0.000411004,0.000634304,0.000678931,0.000786471,0.001176672,0.000633396,0.000988533,0.001789949,0.000981082,0.001159634,0.001519074,0.001633633,0.00333965,0.001617149,0.001639981,0.001596898,0.001956937,0.002444285,0.000631143,0.001240721,0.000988292,0.000785533,0.001187911,0.001702191,0.001419119,0.000595947,0.000528171,0.000383486,0.001055095,0.001425478,0.000901343,0.000814937,0.002504674,0.00105947,0.000926065,0.001179337,0.001237461,0.000547729,0.001199932,0.00202155,0.001701704,0.000861984,0.00053184,0.000642476,0.001971694,0.000734959,0.000833212,0.001397335,0.001581772,0.000667225,0.001046583,0.000624076,0.000840919,0.001326727,0.000720041,0.002012903,0.00161071,0.000932147,0.001598694,0.001573452,0.001319103,0.001296393,0.001395502,0.002489314,0.001878034,0.001583823,0.001516814,0.000936605,0.000501493,7.08E-05,-0.000282672,0.000234981,8.72E-05,-5.13E-05,0.000631848,-0.00018764,-0.000151464,-0.00141007,0.000424887,0.002850385,-0.001293334,0.000268701,-0.000240423,-0.000934825,0.000221079,-0.001096668,0.000199949,0.000195374,0.001332902,6.95E-05,0.005567165,0.005603724,0.007142708,0.005768772,0.006258904,0.007028751,0.005382663,0.002815604,0.00373363,0.002184924,0.004997248,0.003094642,0.001261976
402,0.001178646,0.001537822,0.001834028,0.001065968,0.00256228,0.001550089,0.001911122,0.001332172,0.001615143,0.004223662,0.004195685,0.002753219,0.003138717,0.003574976,0.003955371,0.000486915,0.000424248,0.000642888,0.000697555,0.000796248,0.001200003,0.000642917,0.001009472,0.001810351,0.000990488,0.001174018,0.001537414,0.001655054,0.003384571,0.001637082,0.00165231,0.001610869,0.001975131,0.002468591,0.000641021,0.001256217,0.000993896,0.000797193,0.00119738,0.001707773,0.001425712,0.000607482,0.000535518,0.000388183,0.001061641,0.001440149,0.000914206,0.000822653,0.002572379,0.00107357,0.000934946,0.001183288,0.001246411,0.000555646,0.001209137,0.002037351,0.001707729,0.000878554,0.000539439,0.00065322,0.001988088,0.000751716,0.000845984,0.001414537,0.001593441,0.000686552,0.001062105,0.00063323,0.000850788,0.001338614,0.000732293,0.002024752,0.001621569,0.000947097,0.001616807,0.001593939,0.00133681,0.001314596,0.001411236,0.002522597,0.00190011,0.001601213,0.001535915,0.000937169,0.000512489,7.07E-05,-0.000286103,0.00023571,8.87E-05,-5.28E-05,0.000649596,-0.000188348,-0.000150862,-0.001420463,0.000419981,0.002894261,-0.001304855,0.000271323,-0.000243272,-0.000940599,0.00022234,-0.001104539,0.000208474,0.00020282,0.00135673,7.22E-05,0.005780619,0.005825235,0.007390629,0.00598488,0.006480389,0.007288356,0.005602301,0.002948677,0.003874383,0.002307325,0.005127661,0.003176174,0.001298673
403,0.001186195,0.001552936,0.001848562,0.001075821,0.002583886,0.00156491,0.001930412,0.001342607,0.001632121,0.004204991,0.004181798,0.002742162,0.003127917,0.003554117,0.003939552,0.000499599,0.000439365,0.000649828,0.000718421,0.000804262,0.001223835,0.000651512,0.001031667,0.001827159,0.00099747,0.001186404,0.001554203,0.001675731,0.003427753,0.001656046,0.001662695,0.001623662,0.001990831,0.002489564,0.000648849,0.001269564,0.000995881,0.000807673,0.00120307,0.001707976,0.001429937,0.000619577,0.000542814,0.000393889,0.001064981,0.00145171,0.000925877,0.000828365,0.002623404,0.001087454,0.000941756,0.001183744,0.00125153,0.000563316,0.001214825,0.002048023,0.001706664,0.000895659,0.00054577,0.000662122,0.001999097,0.000769208,0.000857454,0.001429004,0.001604897,0.000707417,0.001077088,0.000641441,0.00085878,0.00134762,0.000743785,0.002030906,0.001626001,0.000961503,0.001633614,0.001613081,0.001354181,0.001332107,0.001426075,0.002554469,0.001920561,0.001617109,0.001553959,0.000935654,0.000525856,7.04E-05,-0.000290066,0.00023661,9.10E-05,-5.50E-05,0.00066994,-0.000189365,-0.000150773,-0.001439947,0.000416738,0.002933184,-0.001327936,0.000273923,-0.000246364,-0.000951875,0.00022293,-0.001119288,0.000218435,0.000212927,0.00138499,7.55E-05,0.005942854,0.005994922,0.007565457,0.006153394,0.006635791,0.00749266,0.005738405,0.00302569,0.003973241,0.00237373,0.005261068,0.003262037,0.001339668
404,0.001193167,0.00156731,0.001862214,0.001085136,0.002603921,0.001578938,0.00194908,0.001352383,0.001648188,0.00418519,0.004166517,0.002729987,0.003116081,0.003531636,0.003922709,0.00051189,0.000454108,0.000656349,0.00073877,0.000811791,0.001246767,0.000659653,0.001053135,0.001843185,0.001003913,0.001198042,0.001569961,0.001695469,0.003468899,0.001673998,0.001672078,0.001635661,0.002005469,0.002509263,0.000656226,0.001282255,0.000997489,0.000817722,0.00120825,0.001707478,0.001433696,0.000631211,0.000549791,0.000399382,0.001067894,0.001462563,0.000936967,0.000833641,0.002670842,0.001101626,0.000948116,0.001183512,0.001256118,0.000570659,0.001219958,0.002057778,0.001704848,0.00091214,0.000551736,0.000670555,0.002009212,0.000786116,0.000868427,0.001442652,0.001615826,0.000727707,0.001091904,0.000649303,0.000866323,0.001356084,0.000754774,0.002036076,0.001629658,0.000975262,0.001649625,0.001631316,0.00137081,0.001348842,0.001440205,0.002584943,0.001939972,0.001632192,0.001571161,0.000929612,0.00053655,6.74E-05,-0.000294749,0.000234166,9.11E-05,-5.95E-05,0.000687883,-0.000191422,-0.000151667,-0.001459443,0.000408927,0.002968521,-0.001351375,0.000273337,-0.00025006,-0.000963222,0.000220114,-0.00113407,0.000228121,0.000222912,0.001409124,7.87E-05,0.006093578,0.006152604,0.007727718,0.006310522,0.006779745,0.007683863,0.005862425,0.003095462,0.004065472,0.002432905,0.005390127,0.003345202,0.001379609
405,0.001199486,0.001580812,0.001874909,0.001093779,0.002622278,0.001591966,0.001967055,0.001361411,0.00166316,0.004164665,0.00415008,0.00271702,0.003103379,0.003508015,0.003904985,0.000523675,0.000468333,0.000662444,0.000758435,0.000818803,0.001268565,0.000667278,0.001073661,0.001858406,0.001009765,0.001208881,0.001584598,0.001714053,0.003507703,0.001690794,0.001680425,0.00164682,0.002018921,0.002527537,0.000663159,0.001294295,0.000998764,0.00082729,0.001212956,0.001706204,0.001436972,0.000642268,0.00055639,0.000404574,0.001070411,0.001472704,0.000947433,0.000838468,0.002714919,0.001115564,0.000954009,0.001182638,0.001260303,0.000577628,0.001224552,0.002066555,0.001702454,0.000927844,0.000557306,0.000678528,0.002018426,0.000802321,0.000878863,0.00145542,0.00162624,0.000747276,0.0011064,0.00065679,0.000873316,0.001364164,0.000765211,0.002040314,0.001632654,0.000988286,0.001664769,0.001648469,0.00138656,0.00136468,0.001453511,0.002613706,0.001958158,0.001646342,0.001587422,0.000923684,0.000547189,6.45E-05,-0.000299229,0.000231809,9.12E-05,-6.38E-05,0.000705742,-0.000193328,-0.000152429,-0.001478855,0.000401236,0.003003264,-0.001375025,0.000272819,-0.000253606,-0.000974597,0.000217398,-0.001148799,0.000237401,0.000232624,0.001432972,8.18E-05,0.00623165,0.006296834,0.007876683,0.006455257,0.006911999,0.007859469,0.005976953,0.003158307,0.004150971,0.002485394,0.005514299,0.003425049,0.001418121
406,0.0012055,0.001593856,0.001887337,0.001102086,0.002640156,0.001604084,0.001984806,0.001370316,0.001677649,0.004140329,0.004130045,0.002701303,0.003087756,0.003480216,0.003884727,0.000535679,0.000483231,0.000668332,0.000778959,0.000825505,0.001291037,0.000674789,0.001094357,0.001873304,0.001015094,0.001220294,0.001599161,0.001732033,0.003546073,0.001707374,0.001687792,0.001657073,0.002032097,0.00254548,0.000671236,0.001308462,0.00100114,0.000838015,0.001219123,0.001703857,0.001437358,0.000653486,0.00056291,0.000410446,0.001074166,0.001484688,0.000959263,0.000844597,0.002758902,0.001129614,0.000961065,0.001182892,0.001266052,0.000585685,0.001230815,0.002074552,0.001699406,0.00094353,0.000564342,0.000687577,0.002030055,0.000819856,0.000890614,0.001470242,0.001636138,0.000767438,0.001121064,0.000665235,0.000881267,0.001373633,0.000776689,0.002043602,0.00163484,0.001001482,0.001679228,0.001665425,0.001402064,0.001380334,0.001466393,0.002641871,0.001975657,0.00166022,0.001603385,0.000911853,0.000554395,5.78E-05,-0.000305078,0.000222859,8.84E-05,-7.22E-05,0.000721021,-0.00019699,-0.000154761,-0.001498951,0.000385901,0.003031894,-0.001398809,0.000266969,-0.000258504,-0.000986824,0.000209112,-0.001163659,0.000247273,0.000242803,0.001450801,8.52E-05,0.006360115,0.006433072,0.008015939,0.006591948,0.00703366,0.008021988,0.006081392,0.003214313,0.004232195,0.002529918,0.005641177,0.00350789,0.001458205
407,0.001211976,0.001607462,0.001900478,0.001110873,0.002659211,0.00161645,0.00200313,0.001379816,0.001692768,0.004115791,0.004110065,0.002685217,0.003072265,0.003451928,0.003865417,0.000548082,0.000498765,0.00067437,0.000800364,0.000832528,0.001314635,0.000682526,0.001115558,0.001888683,0.00102067,0.001233028,0.001614495,0.001750469,0.003585909,0.00172458,0.001695398,0.001667431,0.002046146,0.002564614,0.000680396,0.001324605,0.001004841,0.000849951,0.001226941,0.0017018,0.001436577,0.000665164,0.000569698,0.000417007,0.001079362,0.00149865,0.000972448,0.000851879,0.002804296,0.001144222,0.000969468,0.001184485,0.001273435,0.000594775,0.001238841,0.002083187,0.001696997,0.000959665,0.000572703,0.000697704,0.00204445,0.000838603,0.000903662,0.00148715,0.001645943,0.000788302,0.001136374,0.000674662,0.000890471,0.00138458,0.000789187,0.002047337,0.001637326,0.001015396,0.001694053,0.001683054,0.001418066,0.001396568,0.001479773,0.00267113,0.001993763,0.001674795,0.001620009,0.000902601,0.000563006,5.20E-05,-0.000310412,0.000214237,8.64E-05,-7.98E-05,0.000737174,-0.000199977,-0.000156447,-0.001517615,0.000372102,0.003060347,-0.001420221,0.000261702,-0.000263115,-0.000998345,0.000201789,-0.001177217,0.000257677,0.000253388,0.001470455,8.89E-05,0.006499441,0.006582341,0.008169023,0.006739271,0.00716643,0.008197788,0.006195452,0.003278945,0.004321492,0.002582241,0.005772069,0.003594262,0.001500006
408,0.001218174,0.001620719,0.001913187,0.001119393,0.002677606,0.001628359,0.002020848,0.001388986,0.001707335,0.004091415,0.00409046,0.002669329,0.003056983,0.003424147,0.003846565,0.000560135,0.000513888,0.000680172,0.000821165,0.000839505,0.001337528,0.000689925,0.001136156,0.001903305,0.001026067,0.00124613,0.001629494,0.001768136,0.003624467,0.001741141,0.001702833,0.001677419,0.002059641,0.00258327,0.000689234,0.001340235,0.001008409,0.000861551,0.00123449,0.001699685,0.001435744,0.000676535,0.000576284,0.000423449,0.001084417,0.001512192,0.000985184,0.00085857,0.002847853,0.001158385,0.000977643,0.001185682,0.001280639,0.000603645,0.001246627,0.002091474,0.001694688,0.000975333,0.000580818,0.000707547,0.002058362,0.00085679,0.000916326,0.00150347,0.00165459,0.000808563,0.001151758,0.000683807,0.000899406,0.001395257,0.000801322,0.002050883,0.001639556,0.001028992,0.001708473,0.001700124,0.00143359,0.001412284,0.001492772,0.002699497,0.002011231,0.001688934,0.001636127,0.000893529,0.000571593,4.64E-05,-0.00031551,0.000205809,8.45E-05,-8.72E-05,0.00075324,-0.000202781,-0.000157971,-0.001535393,0.000358537,0.003088279,-0.001440802,0.000256586,-0.000267544,-0.001009317,0.000194653,-0.00119015,0.000267859,0.000263744,0.001489879,9.25E-05,0.00663538,0.006727877,0.008319404,0.006882823,0.007297056,0.008369722,0.006308459,0.003343331,0.004409633,0.002634559,0.005897667,0.003678259,0.001540659
409,0.001227179,0.001637511,0.001930143,0.001130452,0.002702701,0.001643853,0.002042822,0.001401386,0.001725683,0.004076846,0.004081015,0.002659522,0.003049308,0.003404555,0.003837494,0.000573283,0.000530304,0.000687481,0.000843587,0.000848552,0.00136306,0.000698844,0.001159473,0.001922,0.001034071,0.001262352,0.001648102,0.001789649,0.003671494,0.001761402,0.001714294,0.001691213,0.002077448,0.002607375,0.000699115,0.001357667,0.0010134,0.000874472,0.001244153,0.001701988,0.001438798,0.000689442,0.000584236,0.000430645,0.001091054,0.001527978,0.000999267,0.00086703,0.00289776,0.001175227,0.000987417,0.001188554,0.00128997,0.000613667,0.001256404,0.002105469,0.001697018,0.00099331,0.000589817,0.000718378,0.002075248,0.000876229,0.000930469,0.001522091,0.001667061,0.000830853,0.001170911,0.000694056,0.000910133,0.001408351,0.000814705,0.002059447,0.001646,0.001045063,0.001726663,0.001721103,0.001452229,0.001431086,0.001509045,0.002733576,0.002033148,0.001706703,0.001655831,0.000904269,0.000591745,5.19E-05,-0.000316555,0.000212218,9.22E-05,-8.46E-05,0.000779256,-0.000200355,-0.00015464,-0.001546676,0.000365896,0.00312863,-0.00145196,0.000265231,-0.000268667,-0.001015737,0.000202555,-0.001198207,0.000279044,0.000274899,0.001526185,9.65E-05,0.006841717,0.006943064,0.008550926,0.007093281,0.007501649,0.00861837,0.006505727,0.00345751,0.004539153,0.002739073,0.006035466,0.003770718,0.001585188
